parent_directory	object_type	name	size_in_bytes
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi	file	py.typed	0
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi	file	__init__.py	94
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi	file	__main__.py	243
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi	directory	__pycache__	4875
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi\__pycache__	file	core.cpython-311.pyc	3782
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi\__pycache__	file	__init__.cpython-311.pyc	352
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi\__pycache__	file	__main__.cpython-311.pyc	741
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi-2024.7.4.dist-info	file	INSTALLER	4
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi-2024.7.4.dist-info	file	LICENSE	989
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi-2024.7.4.dist-info	file	METADATA	2221
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi-2024.7.4.dist-info	file	RECORD	1008
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi-2024.7.4.dist-info	file	top_level.txt	8
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\certifi-2024.7.4.dist-info	file	WHEEL	91
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	api.py	21723
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	cd.py	12955
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	constant.py	42476
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	legacy.py	2125
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	md.cp311-win_amd64.pyd	10752
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	md.py	20239
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	md__mypyc.cp311-win_amd64.pyd	119296
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	models.py	11964
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	py.typed	0
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	utils.py	12315
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	version.py	85
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	__init__.py	1623
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	file	__main__.py	77
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	directory	cli	22201
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer	directory	__pycache__	147662
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\cli	file	__init__.py	106
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\cli	file	__main__.py	10040
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\cli	directory	__pycache__	12055
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\cli\__pycache__	file	__init__.cpython-311.pyc	329
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\cli\__pycache__	file	__main__.cpython-311.pyc	11726
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	api.cpython-311.pyc	20441
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	cd.cpython-311.pyc	16217
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	constant.cpython-311.pyc	43733
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	legacy.cpython-311.pyc	2790
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	md.cpython-311.pyc	27408
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	models.cpython-311.pyc	18061
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	utils.cpython-311.pyc	16421
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	version.cpython-311.pyc	363
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	__init__.cpython-311.pyc	1871
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer\__pycache__	file	__main__.cpython-311.pyc	357
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer-3.3.2.dist-info	file	entry_points.txt	65
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer-3.3.2.dist-info	file	INSTALLER	4
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer-3.3.2.dist-info	file	LICENSE	1090
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer-3.3.2.dist-info	file	METADATA	34233
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer-3.3.2.dist-info	file	RECORD	2764
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer-3.3.2.dist-info	file	top_level.txt	19
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\charset_normalizer-3.3.2.dist-info	file	WHEEL	102
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	codec.py	3426
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	compat.py	321
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	core.py	12884
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	idnadata.py	78320
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	intranges.py	1881
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	package_data.py	21
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	py.typed	0
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	uts46data.py	206503
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	file	__init__.py	849
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna	directory	__pycache__	295142
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna\__pycache__	file	codec.cpython-311.pyc	5796
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna\__pycache__	file	compat.cpython-311.pyc	1026
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna\__pycache__	file	core.cpython-311.pyc	19246
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna\__pycache__	file	idnadata.cpython-311.pyc	101555
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna\__pycache__	file	intranges.cpython-311.pyc	2994
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna\__pycache__	file	package_data.cpython-311.pyc	229
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna\__pycache__	file	uts46data.cpython-311.pyc	163187
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna\__pycache__	file	__init__.cpython-311.pyc	1109
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna-3.8.dist-info	file	INSTALLER	4
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna-3.8.dist-info	file	LICENSE.md	1541
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna-3.8.dist-info	file	METADATA	9948
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna-3.8.dist-info	file	RECORD	1378
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\idna-3.8.dist-info	file	WHEEL	81
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip	file	py.typed	286
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip	file	__init__.py	355
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip	file	__main__.py	854
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip	file	__pip-runner__.py	1450
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip	directory	_internal	2545256
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip	directory	_vendor	8768904
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip	directory	__pycache__	4237
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	build_env.py	10420
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	cache.py	10369
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	configuration.py	14006
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	exceptions.py	25371
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	main.py	340
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	pyproject.py	7287
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	self_outdated_check.py	8145
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	wheel_builder.py	11799
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	file	__init__.py	513
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	cli	208456
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	commands	285926
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	distributions	29571
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	index	145393
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	locations	69644
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	metadata	159717
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	models	123523
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	network	145400
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	operations	205666
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	req	234686
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	resolution	277634
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	utils	301614
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	vcs	144997
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal	directory	__pycache__	124779
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	autocompletion.py	6865
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	base_command.py	8289
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	cmdoptions.py	30110
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	command_context.py	774
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	index_command.py	5633
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	main.py	2817
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	main_parser.py	4338
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	parser.py	10811
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	progress_bars.py	2713
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	req_command.py	12250
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	spinners.py	5118
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	status_codes.py	116
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	file	__init__.py	132
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli	directory	__pycache__	118490
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli\__pycache__	file	autocompletion.cpython-311.pyc	10451
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli\__pycache__	file	base_command.cpython-311.pyc	11646
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli\__pycache__	file	cmdoptions.cpython-311.pyc	33823
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli\__pycache__	file	command_context.cpython-311.pyc	2135
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli\__pycache__	file	index_command.cpython-311.pyc	7947
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli\__pycache__	file	main.cpython-311.pyc	2607
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages\pip\_internal\cli\__pycache__	file	main_parser.cpython-311.pyc	5549
